koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr
FALSE POSITIVE,FALSE POSITIVE,0,23.6270348,2.26E-04,-2.26E-04,150.0362,1.09E-02,-1.09E-02,1.096,38.21,-0.106,11.481,0.16,-0.16,8.43E+03,1.17E+02,-1.17E+02,21.71,3.50E+00,-2.56E+00,23.17,12.65,-7.53,78.4
FALSE POSITIVE,FALSE POSITIVE,0,0.716709897,4.48E-07,-4.48E-07,132.050846,5.20E-04,-5.20E-04,1.182,10.32,-0.123,0.7466,0.0465,-0.0465,9.33E+02,2.41E+01,-2.41E+01,66.73,3.61E+01,-5.42E+01,22605.13,35600.12,-21944.34,47.6
FALSE POSITIVE,FALSE POSITIVE,0,2.248063246,4.22E-06,-4.22E-06,132.75441,1.77E-03,-1.77E-03,1.225,0.964,-0.161,5.1297,0.0709,-0.0709,6.32E+02,8.40E+00,-8.40E+00,30.38,1.04E+01,-3.44E+00,1421.38,1383.44,-441.85,87.9
FALSE POSITIVE,FALSE POSITIVE,0,63.3278636,1.18E-04,-1.18E-04,165.22656,1.51E-03,-1.51E-03,0.003,0.047,-0.003,47.0744,0.0466,-0.0466,1.15E+04,2.08E+01,-2.08E+01,54.17,1.59E+01,-8.56E+00,152.49,118.38,-48.91,619.6
CONFIRMED,CANDIDATE,1,219.3215562,8.52E-04,-8.52E-04,320.72862,2.18E-03,-2.18E-03,0.244,0.078,-0.244,12.4124,0.0964,-0.0964,3.63E+03,4.12E+01,-4.12E+01,6.11,1.52E+00,-6.50E-01,2.27,1.71,-0.67,93.8
FALSE POSITIVE,FALSE POSITIVE,0,245.4382021,1.25E-04,-1.25E-04,361.302835,3.85E-04,-3.85E-04,1.001,0.022,-0.02,14.502,0.037,-0.037,1.13E+04,1.98E+01,-1.98E+01,19.17,5.21E+00,-3.47E+00,1.66,1.39,-0.69,844.7
FALSE POSITIVE,FALSE POSITIVE,0,178.4129899,3.10E-05,-3.10E-05,218.225235,1.27E-04,-1.27E-04,0.936,0.093,-0.046,2.9298,0.0124,-0.0124,3.75E+04,1.00E+02,-1.00E+02,33.24,5.85E+00,-3.59E+00,4,2,-1.09,535.1
FALSE POSITIVE,FALSE POSITIVE,0,178.44973,,,217.6718259,,,,,,12.86,,,,,,,,,,,,
FALSE POSITIVE,FALSE POSITIVE,0,2.192004364,1.46E-06,-1.46E-06,132.218114,7.61E-04,-7.61E-04,1.003,0.17,-0.127,3.075,0.0149,-0.0149,9.96E+04,4.18E+02,-4.18E+02,37.56,5.91E+00,-2.51E+00,369.54,198.02,-90.41,298.7
FALSE POSITIVE,FALSE POSITIVE,0,3.900109346,2.06E-06,-2.06E-06,133.380544,6.02E-04,-6.02E-04,0.733,0.054,-0.033,3.9037,0.0167,-0.0167,1.26E+05,4.51E+02,-4.51E+02,40.37,1.15E+01,-5.29E+00,427.83,364.88,-145.15,448
FALSE POSITIVE,FALSE POSITIVE,0,1.471060209,1.30E-06,-1.30E-06,132.27522,2.20E-04,-2.20E-04,0.895,0.022,-0.029,4.3708,0.0111,-0.0111,1.48E+05,3.10E+02,-3.10E+02,165.15,3.34E+01,-7.78E+01,43941.18,26833.88,-33639.77,563
FALSE POSITIVE,FALSE POSITIVE,,0.73553763,,,131.5246162,,,,,,2,,,,,,,,,,,,
FALSE POSITIVE,FALSE POSITIVE,0,213.3990406,1.09E-04,-1.09E-04,274.209685,3.83E-04,-3.83E-04,0.981,0.046,-0.03,6.5043,0.034,-0.034,1.39E+04,5.27E+01,-5.27E+01,35.2,7.38E+00,-9.02E+00,11.32,7.18,-5.97,370.9
FALSE POSITIVE,FALSE POSITIVE,0,6.40802979,7.81E-05,-7.81E-05,134.0732,1.00E-02,-1.00E-02,1.287,51.87,-0.254,2.9288,0.034,-0.034,7.78E+03,8.58E+01,-8.58E+01,51.44,1.56E+01,-1.03E+01,424.01,390.02,-192.66,108.2
CANDIDATE,CANDIDATE,0.207,2.38920105,,,132.05991,,,,,,3.15,,,,,,,,,752.42,920.63,-258.45,
FALSE POSITIVE,FALSE POSITIVE,0,0.962835804,6.77E-07,-6.77E-07,132.198475,6.03E-04,-6.03E-04,0.836,0.004,-0.005,4.9844,0.0455,-0.0455,1.43E+04,9.48E+01,-9.48E+01,458.02,1.79E+02,-1.20E+02,602806.92,743581.97,-307798.22,209.2
FALSE POSITIVE,FALSE POSITIVE,0.022,4.639602084,7.06E-06,-7.06E-06,135.09909,1.70E-03,-1.70E-03,0.634,0.032,-0.055,3.4636,0.0579,-0.0579,2.51E+04,2.16E+02,-2.16E+02,19.96,5.56E+00,-5.57E+00,643.95,554.9,-351.05,131
FALSE POSITIVE,FALSE POSITIVE,0,2.991885335,4.23E-06,-4.23E-06,134.17581,1.22E-03,-1.22E-03,0.95,0.002,-0.002,7.4319,0.0769,-0.0769,1.36E+03,1.24E+01,-1.24E+01,3.94,8.50E-01,-5.80E-01,505.77,338.6,-174.64,160.2
FALSE POSITIVE,FALSE POSITIVE,0,1.327471395,1.01E-06,-1.01E-06,131.583734,6.51E-04,-6.51E-04,0.897,0.004,-0.005,5.2334,0.0469,-0.0469,5.67E+03,4.28E+01,-4.28E+01,7.08,9.40E-01,-8.60E-01,892.4,440.54,-286.29,218.7
FALSE POSITIVE,FALSE POSITIVE,0,0.566792595,9.90E-06,-9.90E-06,131.817,1.46E-02,-1.46E-02,0.068,0.418,-0.068,2.637,0.513,-0.513,1.99E+01,2.70E+00,-2.70E+00,0.5,1.00E-01,-8.00E-02,10020.28,6008.08,-3812.1,9.4
FALSE POSITIVE,FALSE POSITIVE,0,1.247156944,2.41E-06,-2.41E-06,132.36584,1.84E-03,-1.84E-03,25.224,10.33,-0.013,2.6779,0.0369,-0.0369,1.35E+05,1.74E+03,-1.74E+03,26042.9,9.46E+03,-1.16E+04,68223.38,74432.78,-49313.25,92.4
CANDIDATE,CANDIDATE,0.99,288.3128666,5.07E-04,-5.07E-04,374.79958,1.25E-03,-1.25E-03,0.525,0.062,-0.358,5.419,0.109,-0.109,1.12E+04,1.31E+02,-1.31E+02,13.21,2.07E+00,-2.30E+00,1.93,0.79,-0.68,96.8
FALSE POSITIVE,FALSE POSITIVE,0,2.119100054,2.80E-06,-2.80E-06,132.59118,1.13E-03,-1.13E-03,1.247,0.198,-0.088,8.2163,0.0829,-0.0829,1.65E+03,1.13E+01,-1.13E+01,34.34,1.07E+01,-4.27E+00,1435.29,1309.88,-469.33,195.7
FALSE POSITIVE,FALSE POSITIVE,0,1.466535757,7.16E-07,-7.16E-07,131.992658,3.94E-04,-3.94E-04,0.824,0.047,-0.575,0.8222,0.0348,-0.0348,1.35E+03,2.94E+01,-2.94E+01,4.28,1.24E+00,-7.70E-01,1849.31,1575.29,-744.53,86.1
FALSE POSITIVE,FALSE POSITIVE,1,8.870415578,9.02E-06,-9.02E-06,137.481093,8.69E-04,-8.69E-04,1.206,70.61,-0.033,1.2864,0.0514,-0.0514,8.73E+02,2.58E+01,-2.58E+01,39.46,1.11E+01,-1.67E+01,414.26,360.89,-292.07,43.8
FALSE POSITIVE,FALSE POSITIVE,0,1.49131759,2.42E-05,-2.42E-05,132.1676,1.49E-02,-1.49E-02,0.467,0.522,-0.255,4.721,0.435,-0.435,2.58E+01,3.00E+00,-3.00E+00,1.26,2.80E-01,-7.00E-01,8873.77,6129.6,-7341.02,10.3
CANDIDATE,CANDIDATE,1,19.57783279,3.70E-05,-3.70E-05,131.71421,1.53E-03,-1.53E-03,0.694,0.007,-0.509,1.9857,0.048,-0.048,4.33E+02,1.35E+01,-1.35E+01,1.96,2.70E-01,-9.00E-02,35.14,13.8,-5.49,37.2
FALSE POSITIVE,FALSE POSITIVE,0,3.04476607,1.38E-05,-1.38E-05,132.43708,3.88E-03,-3.88E-03,1.159,0.653,-0.067,9.568,0.188,-0.188,2.73E+02,4.90E+00,-4.90E+00,15.7,3.97E+00,-1.32E+00,379.01,283.05,-94.21,67
CONFIRMED,CANDIDATE,0.982,70.9672087,1.85E-04,-1.85E-04,182.66991,2.02E-03,-2.02E-03,0.545,0.035,-0.419,6.9623,0.0704,-0.0704,7.85E+02,1.23E+01,-1.23E+01,2.84,4.20E-01,-1.50E-01,8.66,3.43,-1.31,69.3
FALSE POSITIVE,FALSE POSITIVE,0,4.45543346,1.90E-06,-1.90E-06,134.453921,4.47E-04,-4.47E-04,0.469,0.006,-0.007,5.116,0.013,-0.013,2.46E+05,6.98E+02,-6.98E+02,51.69,0.00E+00,0.00E+00,354.27,0,0,508.6
FALSE POSITIVE,FALSE POSITIVE,0,14.32388995,5.42E-06,-5.42E-06,135.225964,4.21E-04,-4.21E-04,1.073,0.029,-0.027,4.83729,0.00711,-0.00711,6.91E+04,9.64E+01,-9.64E+01,45.93,1.34E+01,-4.46E+00,63.62,54.63,-18.63,834.3
FALSE POSITIVE,FALSE POSITIVE,0,20.42723232,8.23E-06,-8.23E-06,135.862807,4.44E-04,-4.44E-04,5.499,29.56,-0.844,3.46429,0.00881,-0.00881,1.22E+05,2.73E+02,-2.73E+02,601.32,1.90E+02,-8.80E+01,74.27,71.37,-27.97,526.6
CANDIDATE,CANDIDATE,0.805,106.18732,3.17E-02,-3.17E-02,180.796,1.72E-01,-1.72E-01,0.027,0.429,-0.027,10.29,2.6,-2.6,2.66E+02,3.27E+01,-3.27E+01,231.85,1.39E+01,-4.18E+01,11829.18,3460.56,-4608.56,8.6
CONFIRMED,CANDIDATE,1,105.6552651,6.25E-04,-6.25E-04,230.09865,4.89E-03,-4.89E-03,0.371,0.059,-0.371,9.39,0.137,-0.137,1.37E+03,3.35E+01,-3.35E+01,4.22,6.60E-01,-5.50E-01,6.51,2.71,-1.83,42.3
FALSE POSITIVE,FALSE POSITIVE,0,4.029803201,2.91E-06,-2.91E-06,134.422433,8.14E-04,-8.14E-04,0.17,0.038,-0.066,4.4301,0.0203,-0.0203,1.91E+05,6.50E+02,-6.50E+02,47.58,1.48E+01,-6.36E+00,545.64,516.63,-195.58,352.3
FALSE POSITIVE,FALSE POSITIVE,0,1.303858554,3.88E-07,-3.88E-07,131.606872,3.36E-04,-3.36E-04,0.928,0.027,-0.022,4.36797,0.00679,-0.00679,1.27E+05,1.68E+02,-1.68E+02,73.29,2.10E+01,-1.71E+01,4438.11,3865.57,-2210.09,904
CANDIDATE,CANDIDATE,0.981,9.74765878,9.88E-05,-9.88E-05,139.16424,7.96E-03,-7.96E-03,0.658,0.295,-0.434,2.62,0.312,-0.312,1.02E+02,1.15E+01,-1.15E+01,0.78,6.00E-02,-3.00E-02,50.3,12.33,-7.67,11.6
CONFIRMED,CANDIDATE,1,3.18899015,1.97E-05,-1.97E-05,133.52624,5.22E-03,-5.22E-03,0.526,0.429,-0.311,2.722,0.151,-0.151,6.62E+01,4.10E+00,-4.10E+00,0.98,1.50E-01,-1.30E-01,693.65,307.57,-205.7,18.4
CANDIDATE,CANDIDATE,0.475,309.89103,1.63E-02,-1.63E-02,259.0588,4.03E-02,-4.03E-02,0.569,0.001,-0.482,16.4,1.5,-1.5,3.21E+02,3.69E+01,-3.69E+01,2.15,7.30E-01,-2.40E-01,2.3,2.21,-0.72,10.7
FALSE POSITIVE,FALSE POSITIVE,0,1.570518376,1.85E-06,-1.85E-06,132.340523,9.79E-04,-9.79E-04,1.295,2.616,-0.008,3.2035,0.0536,-0.0536,2.21E+03,3.42E+01,-3.42E+01,450.76,5.63E+01,-1.80E+02,67267.85,24114.36,-45097.68,76.7
FALSE POSITIVE,FALSE POSITIVE,0,115.9943364,1.14E-04,-1.14E-04,139.57168,8.19E-04,-8.19E-04,0.028,0.283,-0.028,2.4136,0.0389,-0.0389,3.76E+04,4.58E+02,-4.58E+02,13.66,5.70E-01,-1.25E+00,1.16,0.29,-0.33,102.4
FALSE POSITIVE,FALSE POSITIVE,,0.623441636,5.00E-08,-5.00E-08,131.6792187,7.24E-05,-7.24E-05,1.2127,0.1008,-0.0702,1.46001,0.0037,-0.0037,1.93E+04,4.41E+01,-4.41E+01,29.19,4.24E+00,-2.37E+00,2025.22,1058.2,-527.99,164.7
FALSE POSITIVE,FALSE POSITIVE,0,14.5417471,3.83E-05,-3.83E-05,137.58734,1.98E-03,-1.98E-03,1.214,30.28,-0.176,5.6067,0.0953,-0.0953,1.09E+03,1.79E+01,-1.79E+01,163.25,1.32E+01,-2.63E+01,1176.23,286.55,-406.1,71.2
FALSE POSITIVE,FALSE POSITIVE,0,2.81753381,7.72E-05,-7.72E-05,132.8937,2.24E-02,-2.24E-02,1.373,39.03,-1.238,2.1551,0.0743,-0.0743,3.84E+03,1.18E+02,-1.18E+02,52.91,1.45E+01,-9.68E+00,1180.61,990.68,-507.62,39.3
CONFIRMED,CANDIDATE,0.994,0.762132307,3.80E-06,-3.80E-06,131.61542,3.75E-03,-3.75E-03,0.399,0.052,-0.399,1.22,0.155,-0.155,6.37E+01,8.00E+00,-8.00E+00,0.75,1.10E-01,-4.00E-02,2913.14,1051.78,-477.21,11.5
FALSE POSITIVE,FALSE POSITIVE,0,56.6993107,1.19E-04,-1.19E-04,146.1473,1.76E-03,-1.76E-03,1.264,66.21,-0.005,7.0706,0.0978,-0.0978,5.82E+03,9.18E+01,-9.18E+01,539.16,1.12E+02,-1.68E+02,598.36,316.06,-337.24,76.3
FALSE POSITIVE,FALSE POSITIVE,0,161.252247,1.63E-03,-1.63E-03,189.10948,7.64E-03,-7.64E-03,0.892,0.007,-0.017,23.467,0.446,-0.446,2.19E+03,3.11E+01,-3.11E+01,4.49,8.20E-01,-5.50E-01,2,1.14,-0.64,84.1
FALSE POSITIVE,FALSE POSITIVE,0,0.867719291,9.78E-07,-9.78E-07,132.165597,9.81E-04,-9.81E-04,1.27,0.15,-0.1,6.323,0.142,-0.142,2.65E+03,2.30E+01,-2.30E+01,37.79,1.17E+01,-5.01E+00,4662.2,4226.73,-1634.94,157.1
CANDIDATE,CANDIDATE,0,1.803697292,4.00E-06,-4.00E-06,131.51365,1.85E-03,-1.85E-03,0.405,0.067,-0.405,1.5922,0.0501,-0.0501,6.97E+01,3.30E+00,-3.30E+00,1,3.00E-01,-1.70E-01,2385.75,2161.97,-943.67,25.8
FALSE POSITIVE,FALSE POSITIVE,,0.84112187,5.54E-07,-5.54E-07,132.164939,7.06E-04,-7.06E-04,1.0871,1.243,-0.3132,2.0431,0.0391,-0.0391,7.51E+04,9.99E+02,-9.99E+02,39.34,6.01E+00,-3.73E+00,1240.91,644.57,-335.2,89.7
FALSE POSITIVE,FALSE POSITIVE,,0.828326025,1.52E-07,-1.52E-07,132.175806,1.65E-04,-1.65E-04,1.3292,0.2668,-0.2371,1.42721,0.00831,-0.00831,1.07E+04,4.44E+01,-4.44E+01,49.67,2.41E+01,-7.57E+00,2739.59,4244.63,-995.63,164.5
FALSE POSITIVE,FALSE POSITIVE,0,1.219324537,1.41E-06,-1.41E-06,131.94673,1.21E-03,-1.21E-03,0.489,0.034,-0.032,4.7501,0.0269,-0.0269,3.79E+05,1.68E+03,-1.68E+03,60.62,1.47E+01,-7.90E+00,1432.21,1102.78,-479.51,241
FALSE POSITIVE,FALSE POSITIVE,0,2.401751509,2.25E-06,-2.25E-06,133.711919,8.29E-04,-8.29E-04,5.25,36.62,-0.078,2.0835,0.0346,-0.0346,2.50E+04,3.60E+02,-3.60E+02,268.75,2.08E+01,-2.08E+01,146.91,49.01,-38.6,83.1
FALSE POSITIVE,FALSE POSITIVE,0,36.97709537,4.26E-05,-4.26E-05,133.6264,1.27E-03,-1.27E-03,0.75,0.067,-0.051,5.2063,0.0231,-0.0231,2.17E+05,1.32E+03,-1.32E+03,59.66,0.00E+00,0.00E+00,21.08,0,0,204.9
FALSE POSITIVE,FALSE POSITIVE,0,16.37188364,5.18E-06,-5.18E-06,140.020073,3.52E-04,-3.52E-04,1.066,0.11,-0.079,3.44467,0.00654,-0.00654,6.59E+04,1.27E+02,-1.27E+02,70.73,1.90E+01,-2.53E+01,117.9,98.11,-74.91,639.8
FALSE POSITIVE,FALSE POSITIVE,0,2.617284592,1.02E-06,-1.02E-06,132.390683,4.03E-04,-4.03E-04,0.743,0.012,-0.013,9.5545,0.0102,-0.0102,2.31E+05,2.32E+02,-2.32E+02,162.67,6.22E+01,-1.16E+02,3885.11,4792.2,-3602.81,1215.2
FALSE POSITIVE,FALSE POSITIVE,0,10.14873521,1.27E-05,-1.27E-05,136.02501,1.37E-03,-1.37E-03,0.965,0.261,-0.129,5.603,0.0311,-0.0311,1.16E+05,5.30E+02,-5.30E+02,71.11,2.05E+01,-1.49E+01,281.19,238.91,-130.56,250.9
FALSE POSITIVE,FALSE POSITIVE,0,2.897436854,1.09E-06,-1.09E-06,132.038502,4.17E-04,-4.17E-04,0.642,0.02,-0.02,3.2833,0.00956,-0.00956,2.90E+05,1.24E+03,-1.24E+03,64.69,0.00E+00,0.00E+00,627.44,0,0,274.2
CONFIRMED,CANDIDATE,0,5.546083089,8.26E-06,-8.26E-06,133.50348,1.23E-03,-1.23E-03,0.902,0.013,-0.629,2.717,0.11,-0.11,2.21E+03,4.55E+01,-4.55E+01,22.27,2.20E+00,-1.25E+01,7027.09,2437.78,-5901.49,56.4
FALSE POSITIVE,FALSE POSITIVE,0,6.87366398,1.07E-05,-1.07E-05,136.13966,1.34E-03,-1.34E-03,0.958,1.367,-0.043,7.0845,0.062,-0.062,9.77E+03,7.74E+01,-7.74E+01,12.01,2.87E+00,-1.03E+00,128.52,95.83,-34.52,143.2
FALSE POSITIVE,FALSE POSITIVE,0,6.87366412,,,132.4575658,,,,,,4.85,,,,,,,,,,,,
FALSE POSITIVE,FALSE POSITIVE,0,0.668483494,2.88E-07,-2.88E-07,132.156558,4.97E-04,-4.97E-04,0.773,0.11,-0.081,2.4129,0.0232,-0.0232,7.23E+05,3.40E+03,-3.40E+03,138.76,0.00E+00,0.00E+00,4439.53,0,0,334.3
FALSE POSITIVE,FALSE POSITIVE,0.086,1.070272827,4.94E-07,-4.94E-07,131.835891,4.13E-04,-4.13E-04,1.269,0.267,-0.175,4.2844,0.0196,-0.0196,9.89E+03,4.05E+01,-4.05E+01,28.73,3.17E+00,-1.93E+00,528.52,219.1,-129.89,284
FALSE POSITIVE,FALSE POSITIVE,0,0.977170246,1.53E-06,-1.53E-06,132.23783,1.14E-03,-1.14E-03,0.646,0.102,-0.242,3.4842,0.0572,-0.0572,1.51E+02,2.00E+00,-2.00E+00,5.08,1.20E+00,-2.40E+00,25506.22,18365.12,-19376.75,94.5
FALSE POSITIVE,FALSE POSITIVE,0,1.135930136,3.23E-07,-3.23E-07,132.396556,2.64E-04,-2.64E-04,1.282,0.12,-0.084,4.5036,0.0109,-0.0109,2.72E+04,5.81E+01,-5.81E+01,52.05,1.58E+01,-5.29E+00,2683.57,2486.11,-834.54,551.7
FALSE POSITIVE,FALSE POSITIVE,0,1.801863222,7.95E-07,-7.95E-07,132.48449,3.74E-04,-3.74E-04,0.681,0.017,-0.017,7.2492,0.0259,-0.0259,2.63E+05,7.03E+02,-7.03E+02,145.36,2.95E+01,-5.48E+01,12930.1,8251,-8701.88,463.4
FALSE POSITIVE,FALSE POSITIVE,0.006,54.77145968,6.90E-05,-6.90E-05,143.74319,1.01E-03,-1.01E-03,0.637,0.007,-0.009,37.1871,0.0787,-0.0787,7.22E+03,1.12E+01,-1.12E+01,34.32,1.04E+01,-1.93E+01,86.12,81.37,-71.73,751.1
FALSE POSITIVE,FALSE POSITIVE,0,1.674690886,8.90E-07,-8.90E-07,132.172107,4.55E-04,-4.55E-04,1.212,1.44,-0.133,2.0179,0.0236,-0.0236,5.27E+02,5.30E+00,-5.30E+00,29.78,9.06E+00,-4.17E+00,2558.96,2219.69,-899.75,118.6
CANDIDATE,CANDIDATE,0,1.013774136,4.35E-06,-4.35E-06,131.95888,1.95E-03,-1.95E-03,1.161,10.54,-0.021,1.2774,0.0147,-0.0147,3.39E+04,2.62E+02,-2.62E+02,18.59,1.34E+00,-1.48E+00,110.51,22.15,-22.05,166.8
CANDIDATE,CANDIDATE,0.996,290.1401717,2.62E-04,-2.62E-04,307.250618,6.50E-04,-6.50E-04,0.935,5.681,-0.029,2.1583,0.0472,-0.0472,4.84E+03,8.72E+01,-8.72E+01,11.58,1.84E+00,-2.25E+00,2.02,0.85,-0.77,69.1
CONFIRMED,CANDIDATE,1,161.515617,1.26E-03,-1.26E-03,176.49978,6.36E-03,-6.36E-03,0.001,0.511,-0.001,6.548,0.288,-0.288,2.22E+03,9.71E+01,-9.71E+01,2.88,1.20E-01,-1.30E-01,0.47,0.08,-0.07,25.2
FALSE POSITIVE,FALSE POSITIVE,0,2.112405306,3.99E-06,-3.99E-06,132.97515,1.52E-03,-1.52E-03,1.207,5.812,-0.038,2.5845,0.0795,-0.0795,4.89E+02,1.41E+01,-1.41E+01,19.01,3.98E+00,-1.41E+00,533.2,345.29,-124.03,42.2
FALSE POSITIVE,FALSE POSITIVE,0,1.870990236,3.58E-06,-3.58E-06,132.68949,1.77E-03,-1.77E-03,1.193,11.56,-0.04,1.8432,0.0721,-0.0721,6.43E+02,2.11E+01,-2.11E+01,26.1,8.34E+00,-2.98E+00,1824.38,1723.64,-601.05,37.4
FALSE POSITIVE,FALSE POSITIVE,0,5.56648691,1.75E-05,-1.75E-05,133.03305,2.59E-03,-2.59E-03,0.935,0.004,-0.013,10.931,0.297,-0.297,6.95E+02,8.00E+00,-8.00E+00,43.67,7.25E+00,-1.09E+01,11089.75,4895.01,-5481.83,103.6
FALSE POSITIVE,FALSE POSITIVE,0,1.33253834,2.83E-05,-2.83E-05,132.066,1.38E-02,-1.38E-02,0.164,0.296,-0.164,3.737,0.508,-0.508,6.24E+01,8.00E+00,-8.00E+00,0.64,1.50E-01,-6.00E-02,1051.03,738.65,-283.59,9.7
FALSE POSITIVE,FALSE POSITIVE,0,1.241483276,2.81E-06,-2.81E-06,132.10028,2.01E-03,-2.01E-03,1.227,3.02,-0.15,2.195,0.104,-0.104,1.41E+02,5.40E+00,-5.40E+00,27.25,8.59E+00,-3.68E+00,2761.35,2567.19,-939.96,32
FALSE POSITIVE,FALSE POSITIVE,0,3.01551943,1.27E-06,-1.27E-06,132.943637,4.36E-04,-4.36E-04,0.851,0.086,-0.069,3.1713,0.0114,-0.0114,1.60E+05,5.17E+02,-5.17E+02,155.81,5.64E+01,-1.05E+02,2692.16,3147.75,-2442.77,367.3
FALSE POSITIVE,FALSE POSITIVE,0,2.112395777,1.05E-06,-1.05E-06,134.034448,5.31E-04,-5.31E-04,1.285,0.551,-0.303,2.7714,0.0332,-0.0332,2.63E+05,1.43E+03,-1.43E+03,115.26,0.00E+00,0.00E+00,957.45,0,0,243.2
CONFIRMED,CANDIDATE,0.636,14.8444836,2.12E-04,-2.12E-04,143.576,1.15E-02,-1.15E-02,0.149,0.316,-0.149,6.091,0.356,-0.356,1.78E+02,1.92E+01,-1.92E+01,2.49,4.40E-01,-5.40E-01,336.06,159.3,-148.42,10.5
FALSE POSITIVE,FALSE POSITIVE,0,2.252417903,1.26E-06,-1.26E-06,132.436339,5.10E-04,-5.10E-04,1.198,24.64,-0.027,1.9767,0.0224,-0.0224,3.23E+04,3.06E+02,-3.06E+02,27.09,1.30E+00,-1.94E+00,88.43,15.77,-18.1,129.5
FALSE POSITIVE,FALSE POSITIVE,0,2.900613144,1.15E-06,-1.15E-06,133.422871,4.65E-04,-4.65E-04,0.334,0.01,-0.018,3.7357,0.0116,-0.0116,1.65E+05,3.72E+02,-3.72E+02,38.63,1.15E+01,-4.94E+00,650.9,589.45,-221.47,617.7
FALSE POSITIVE,FALSE POSITIVE,0,174.7697122,1.15E-04,-1.15E-04,172.472322,5.43E-04,-5.43E-04,1.036,4.346,-0.339,2.3569,0.0317,-0.0317,6.81E+04,8.32E+02,-8.32E+02,38.79,9.36E+00,-3.13E+00,1.77,1.26,-0.44,100.4
FALSE POSITIVE,FALSE POSITIVE,0,31.43284649,4.57E-05,-4.57E-05,138.11259,1.41E-03,-1.41E-03,0.815,0.596,-0.194,5.3541,0.0602,-0.0602,1.79E+05,1.48E+03,-1.48E+03,57.21,0.00E+00,0.00E+00,26.19,0,0,154
CANDIDATE,CANDIDATE,0.873,1.72110057,1.60E-05,-1.60E-05,132.76068,8.31E-03,-8.31E-03,0.767,0.033,-0.544,1.922,0.258,-0.258,2.97E+01,4.20E+00,-4.20E+00,0.7,1.10E-01,-9.00E-02,1575.2,698.44,-467.13,9.3
FALSE POSITIVE,FALSE POSITIVE,0,9.72675447,1.39E-05,-1.39E-05,139.47635,1.20E-03,-1.20E-03,4.676,1.538,-0.542,19.6214,0.0544,-0.0544,6.64E+03,2.11E+01,-2.11E+01,995.22,1.89E+02,-3.50E+02,815.99,455.09,-509.16,366.4
FALSE POSITIVE,FALSE POSITIVE,0,8.096939227,6.57E-06,-6.57E-06,132.646466,9.11E-04,-9.11E-04,0.786,0.302,-0.175,2.8833,0.017,-0.017,1.43E+05,1.17E+03,-1.17E+03,68.48,1.94E+01,-1.59E+01,481.48,402.75,-234.75,177.9
FALSE POSITIVE,FALSE POSITIVE,0,0.64234865,2.19E-07,-2.19E-07,131.911078,3.65E-04,-3.65E-04,0.966,0.911,-0.109,2.1184,0.0144,-0.0144,3.96E+04,1.64E+02,-1.64E+02,25.76,5.12E+00,-2.77E+00,2653.37,1715.61,-818.36,231.7
FALSE POSITIVE,FALSE POSITIVE,0,130.4194187,1.75E-04,-1.75E-04,229.758424,9.75E-04,-9.75E-04,1.258,60.12,-0.118,4.165,0.052,-0.052,2.29E+03,3.09E+01,-3.09E+01,57.51,1.26E+01,-1.88E+01,11.79,7.72,-6.92,90.4
FALSE POSITIVE,FALSE POSITIVE,0,1.78526527,4.20E-05,-4.20E-05,133.1265,1.92E-02,-1.92E-02,1.262,0.355,-0.202,6.2233,0.0691,-0.0691,1.73E+03,1.69E+01,-1.69E+01,41.19,1.44E+01,-5.74E+00,2563.99,2633.55,-935.82,123.1
FALSE POSITIVE,FALSE POSITIVE,1,4.8591441,1.16E-04,-1.16E-04,132.6666,1.95E-02,-1.95E-02,0.932,0.005,-0.009,3.8588,0.0867,-0.0867,2.18E+03,3.81E+01,-3.81E+01,6.9,2.23E+00,-9.60E-01,681.41,636.46,-251.08,81.6
FALSE POSITIVE,FALSE POSITIVE,0,5.95077813,1.26E-05,-1.26E-05,135.06469,1.74E-03,-1.74E-03,0.881,0.021,-0.614,5.6,0.126,-0.126,7.62E+02,1.23E+01,-1.23E+01,32.26,1.11E+01,-2.23E+01,7394.55,7123.11,-6794.35,71.9
FALSE POSITIVE,FALSE POSITIVE,,99.673478,3.46E-04,-3.46E-04,219.33483,2.30E-03,-2.30E-03,11.6846,1.516,-10.45,0.968,0.179,-0.179,2.50E+03,2.64E+02,-2.64E+02,576.14,3.04E+01,-3.16E+01,1.11,0.27,-0.23,12.6
CANDIDATE,CANDIDATE,1,4.7425521,2.57E-05,-2.57E-05,133.13755,4.72E-03,-4.72E-03,0.851,0.091,-0.616,1.11,0.149,-0.149,3.58E+03,4.88E+02,-4.88E+02,7.27,2.47E+00,-8.20E-01,426.49,438.63,-143.72,10.9
FALSE POSITIVE,FALSE POSITIVE,0,0.955297055,8.13E-07,-8.13E-07,132.179352,6.83E-04,-6.83E-04,1.193,2.539,-0.039,1.7405,0.0376,-0.0376,8.46E+02,1.55E+01,-1.55E+01,18.16,2.08E+00,-2.08E+00,1367.42,543.24,-417.66,67.3
